局站,A端设备名称,A端熔丝编号,A端熔丝规格,A端额定电流,A端空开编号,A端空开规格,上下级,上下游,连接类型（交流/直流）,电缆型号,B端设备名称,B端熔丝编号,B端熔丝规格,B端额定电流,B端空开编号,空开规格,B端设备位置（非动力设备）,A端设备照片,B端设备照片,备注
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,BF1（电池1）,NT4,500A,,,,平级,直流,RVVZ-240mm²,新大楼三楼电力室_1#直流系统蓄电池01,蓄电池01,GFM-1500,,,,,,,混合并联：A端熔丝*2+A、B间电缆*4
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,BF2（电池2）,NT4,500A,,,,平级,直流,RVVZ-240mm²,新大楼三楼电力室_1#直流系统蓄电池02,蓄电池02,GFM-1500,,,,,,,混合并联：A端熔丝*2+A、B间电缆*4
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F1（出线1）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜A18,2L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F2（出线2）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜A18,1L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F3（出线3）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜B18,1L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F4（出线4）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜B18,2L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F5（出线5）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_2#直流系统列头柜D01,2L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F6（出线6）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_2#直流系统列头柜D01,1L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F7（出线7）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜C18,2L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F8（出线8）,NT3,500A,,,A上B下,上游,直流,RVVZ-240mm²,新大楼一楼综合机房_1#直流系统列头柜C18,1L,RT16Z-3,500A,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F9（出线9）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F10（出线10）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F11（出线11）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F12（出线12）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F13（出线13）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F14（出线14）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F15（出线15）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F16（出线16）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F17（出线17）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F18（出线18）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F19（出线19）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F20（出线20）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F21（出线21）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F22（出线22）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F23（出线23）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F24（出线24）,NT3,500A,,,,,,,,,,,,,,,,
递铺,新大楼一楼综合机房_1#直流系统直配屏E15,F25（出线25）,NT3,500A,,,,,,,,,,,,,,,,
